TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	IS_NULLABLE	COLUMN_DEFAULT
Activities_List	7	boolShow	bit	NULL	NO	NULL
Activities_List	8	date_created	smalldatetime	NULL	NO	NULL
Activities_List	9	created_by	varchar	50	NO	NULL
Activities_List	10	mailback	varchar	100	YES	NULL
Activities_List	11	mailmessage	varchar	2000	YES	NULL
Activities_List	12	hideCapacity	bit	NULL	YES	NULL
Activities_List	13	listType	varchar	10	YES	NULL
Activities_List	14	vtgname	varchar	30	YES	NULL
Activities_List	15	boolMemberRequire	bit	NULL	YES	NULL
Activities_List	16	priceGroupMember	int	NULL	YES	NULL
Activities_List	17	priceGroupNoMember	int	NULL	YES	NULL
Activities_List	18	boolMemberRequired	bit	NULL	YES	NULL
Activities_List	19	boolVtg	bit	NULL	YES	NULL
Activities_List	20	hideTotSeats	bit	NULL	YES	NULL
Activities_Participants	1	participantID	int	NULL	NO	NULL
Activities_Participants	2	activityID	int	NULL	NO	NULL
Activities_Participants	3	boolSuConfirmed	bit	NULL	NO	NULL
Activities_Participants	4	orderID	int	NULL	YES	NULL
Activities_Participants	5	price	decimal	NULL	YES	NULL
Activities_Participants	6	pricecat	varchar	50	YES	NULL
Activities_Participants	7	onWaitlist	bit	NULL	YES	NULL
Activities_Participants	8	parentname	varchar	80	YES	NULL
Activities_Participants	9	fname	varchar	50	NO	NULL
Activities_Participants	10	sname	varchar	50	NO	NULL
Activities_Participants	11	email	varchar	100	YES	NULL
Activities_Participants	12	memberID	varchar	30	YES	NULL
Activities_Participants	13	bornyear	varchar	10	YES	NULL
Activities_Participants	14	address	varchar	100	YES	NULL
Activities_Participants	15	pcodecity	varchar	100	YES	NULL
Activities_Participants	16	postcode	varchar	20	YES	NULL
Activities_Participants	17	city	varchar	50	YES	NULL
Activities_Participants	18	telephone	varchar	50	YES	NULL
Activities_Participants	19	hcp	varchar	10	YES	NULL
Activities_Participants	20	homeClub	varchar	50	YES	NULL
Activities_Participants	21	comments	varchar	500	YES	NULL
Activities_Participants	22	extraInfo	varchar	500	YES	NULL
Activities_Participants	23	date_signup	smalldatetime	NULL	YES	NULL
Activities_Participants	24	signupKey	char	32	YES	NULL
Activities_Participants	25	vtgMembership	bit	NULL	YES	NULL
Activities_Participants	26	memberByVtg	bit	NULL	YES	NULL
Activities_Participants	27	parentemail	varchar	80	YES	NULL
Activities_Participants	28	parentphone	varchar	30	YES	NULL
Activities_Participants	29	boolDeleted	bit	NULL	YES	NULL
Activities_PriceGroup_Prices	1	priceCatID	int	NULL	NO	NULL
Activities_PriceGroup_Prices	2	groupID	int	NULL	NO	NULL
Activities_PriceGroup_Prices	3	pricecatname	varchar	50	NO	NULL
Activities_PriceGroup_Prices	4	price	decimal	NULL	NO	NULL
Activities_PriceGroups	1	groupID	int	NULL	NO	NULL
Activities_PriceGroups	2	depID	int	NULL	NO	NULL
Activities_PriceGroups	3	actType	varchar	20	NO	NULL
Activities_PriceGroups	4	priceGroup	varchar	50	NO	NULL
Activities_PriceGroups	5	boolActive	bit	NULL	YES	NULL
Activities_Prices	1	priceID	int	NULL	NO	NULL
Activities_Prices	2	activityID	int	NULL	YES	NULL
Activities_Prices	3	tournID	int	NULL	YES	NULL
Activities_Prices	4	pricecat	varchar	50	NO	NULL
Activities_Prices	5	price	decimal	NULL	NO	NULL
Admin_Areas	1	areaID	int	NULL	NO	NULL
Admin_Areas	2	area	varchar	30	NO	NULL
Admin_User_PwdTemp	1	userID	varchar	50	NO	NULL
Admin_User_PwdTemp	2	pwdKey	char	32	NO	NULL
Admin_User_PwdTemp	3	pwdNumber	int	NULL	NO	NULL
Admin_User_PwdTemp	4	timestamp	smalldatetime	NULL	NO	NULL
Admin_Users	1	userID	int	NULL	NO	NULL
Admin_Users	2	boolSupervisor	bit	NULL	NO	NULL
Admin_Users	3	adminName	varchar	100	NO	NULL
Admin_Users	4	adminEmail	varchar	100	NO	NULL
Admin_Users	5	pwd_hash	char	32	NO	NULL
Admin_Users	6	pwd_temp	varchar	30	YES	NULL
Admin_Users	7	date_created	smalldatetime	NULL	NO	NULL
Admin_Users	8	lastLog	smalldatetime	NULL	YES	NULL
Admin_Users	9	cKey	char	32	YES	NULL
Admin_Users_Areas	1	areaID	int	NULL	NO	NULL
Admin_Users_Areas	2	userID	int	NULL	NO	NULL
Admin_Users_Departments	1	userID	int	NULL	NO	NULL
Admin_Users_Departments	2	depID	int	NULL	NO	NULL
Admin_Users_Departments	3	preferred	bit	NULL	NO	NULL
Ads	1	adID	int	NULL	NO	NULL
Ads	2	boolShow	bit	NULL	NO	NULL
Ads	3	catID	int	NULL	YES	NULL
Ads	4	contact	varchar	80	YES	NULL
Ads	5	email	varchar	80	YES	NULL
Ads	6	phone	varchar	30	YES	NULL
Ads	7	price	varchar	100	YES	NULL
Ads	8	date_created	smalldatetime	NULL	YES	NULL
Ads_Categories	1	catID	int	NULL	NO	NULL
Ads_Categories	2	category	varchar	30	YES	NULL
Attachments	1	attachmentID	int	NULL	NO	NULL
Attachments	2	documentID	int	NULL	NO	NULL
Attachments	3	pageID	int	NULL	YES	NULL
Attachments	4	articleID	int	NULL	YES	NULL
Attachments	5	tournID	int	NULL	YES	NULL
Attachments	6	activityID	int	NULL	YES	NULL
Attachments	7	safeField	int	NULL	YES	NULL
Blog	1	blogID	int	NULL	NO	NULL
Blog	2	bloggerID	int	NULL	YES	NULL
Blog	3	boolShow	bit	NULL	NO	NULL
Blog	4	typeComments	char	2	YES	NULL
Blog	5	pagedescription	varchar	500	YES	NULL
Blog	6	template	tinyint	NULL	YES	NULL
Blog	7	indexImageID	int	NULL	YES	NULL
Blog	8	indexImage	varchar	100	YES	NULL
Blog	9	indexImagePath	varchar	200	YES	NULL
Blog	10	indeximg_descr	varchar	500	YES	NULL
Blog	11	templateImageID	int	NULL	YES	NULL
Blog	12	templateImage	varchar	200	YES	NULL
Blog	13	templimg_descr	varchar	500	YES	NULL
Blog	14	validfrom	smalldatetime	NULL	NO	NULL
Blog	15	heading	varchar	250	NO	NULL
Blog	16	urlTitle	varchar	200	NO	NULL
Blog	17	blogContent	varchar	-1	YES	NULL
Blog	18	boolSendNotice	bit	NULL	YES	NULL
Blog	19	noticeToEmail	varchar	100	YES	NULL
Blog	20	date_created	smalldatetime	NULL	NO	NULL
Blog	21	created_by	varchar	100	NO	NULL
Blog	22	videoUrl	varchar	200	YES	NULL
Blog_Comments	1	commentID	int	NULL	NO	NULL
Blog_Comments	2	blogID	int	NULL	NO	NULL
Blog_Comments	3	comment	varchar	500	NO	NULL
Blog_Comments	4	boolShow	bit	NULL	NO	NULL
Blog_Comments	5	poster	varchar	100	NO	NULL
Blog_Comments	6	poster_email	varchar	100	YES	NULL
Blog_Comments	7	date_created	smalldatetime	NULL	NO	NULL
Blog_Comments	8	admin_comment	varchar	500	YES	NULL
Blog_Comments	9	bloggerID	int	NULL	YES	NULL
Blog_Comments	10	date_reply	smalldatetime	NULL	YES	NULL
Blog_Images	1	imageID	int	NULL	NO	NULL
Blog_Images	2	bloggerID	int	NULL	NO	NULL
Blog_Images	3	imgWidth	varchar	4	YES	NULL
Blog_Images	4	imgHeight	varchar	4	YES	NULL
Blog_Images	5	imagefile	varchar	100	NO	NULL
Blog_Images	6	imgDescription	varchar	200	YES	NULL
Blog_Images	7	sizecat	tinyint	NULL	YES	NULL
Blog_Images	8	date_created	smalldatetime	NULL	YES	NULL
Bloggers	1	bloggerID	int	NULL	NO	NULL
Bloggers	2	boolShow	bit	NULL	YES	NULL
Bloggers	3	bloggerName	varchar	50	YES	NULL
Bloggers	4	bloggerAlias	varchar	50	YES	NULL
Bloggers	5	bloggerLogin	varchar	50	YES	NULL
Bloggers	6	bloggerEmail	varchar	100	YES	NULL
Bloggers	7	pwdHash	char	32	YES	NULL
Bloggers	8	ckey	char	32	YES	NULL
Bloggers	9	date_created	smalldatetime	NULL	YES	NULL
Bloggers	10	created_by	varchar	100	YES	NULL
Calendar	1	calID	int	NULL	NO	NULL
Calendar	2	depID	int	NULL	NO	NULL
Calendar	3	descr	varchar	200	NO	NULL
Calendar	4	tournID	int	NULL	YES	NULL
Calendar	5	activityID	int	NULL	YES	NULL
Calendar	6	calDate	smalldatetime	NULL	NO	NULL
Calendar	7	timeFrom	char	4	NO	NULL
Calendar	8	timeTo	char	4	NO	NULL
Calendar	9	details	varchar	300	YES	NULL
Cart	1	cartRowID	int	NULL	NO	NULL
Cart	2	cartID	varchar	50	NO	NULL
Cart	3	noProd	bit	NULL	NO	NULL
Cart	4	productID	int	NULL	YES	NULL
Cart	5	prodVarID	int	NULL	YES	NULL
Cart	6	activityID	int	NULL	YES	NULL
Cart	7	tournID	int	NULL	YES	NULL
Cart	8	feedbackID	int	NULL	YES	NULL
Cart	9	senderID	int	NULL	YES	NULL
Cart	10	participantID	int	NULL	YES	NULL
Cart	11	variant	varchar	200	YES	NULL
Cart	12	textVariant	varchar	200	YES	NULL
Cart	13	totPrice	decimal	NULL	NO	NULL
Cart	14	quantity	int	NULL	NO	NULL
Cart	15	totalValue	decimal	NULL	YES	NULL
Cart	16	dateAdded	smalldatetime	NULL	NO	NULL
Cart	17	ip	varchar	20	YES	NULL
Cart	18	memberRecID	int	NULL	YES	NULL
Cart	19	payAccount	int	NULL	YES	NULL
ClubChamps	1	championID	int	NULL	NO	NULL
ClubChamps	2	ch_year	varchar	4	YES	NULL
ClubChamps	3	categoryID	int	NULL	YES	NULL
ClubChamps	4	firstname	varchar	50	YES	NULL
ClubChamps	5	lastname	varchar	50	YES	NULL
ClubChamps	6	rounds	varchar	2	YES	NULL
ClubChamps	7	score	varchar	20	YES	NULL
ClubChamps	8	imagepath	varchar	250	YES	NULL
ClubChamps	9	tee	varchar	20	YES	NULL
ClubChamps	10	url_res	varchar	300	YES	NULL
ClubChamps_Categories	1	categoryID	int	NULL	NO	NULL
ClubChamps_Categories	2	category	varchar	100	YES	NULL
ClubChamps_Categories	3	sortnum	tinyint	NULL	YES	NULL
ClubChamps_Categories	4	tee	varchar	20	YES	NULL
Contacts	1	contactID	int	NULL	NO	NULL
Contacts	2	listID	int	NULL	NO	NULL
Contacts	3	profileID	int	NULL	NO	NULL
Contacts	4	sortnum	tinyint	NULL	NO	NULL
Contacts	5	contactTitle	varchar	50	YES	NULL
Contacts_List	1	listID	int	NULL	NO	NULL
Contacts_List	2	depID	int	NULL	NO	NULL
Contacts_List	3	listname	varchar	50	NO	NULL
Contacts_List	4	listtype	varchar	20	YES	NULL
Contacts_List	5	sortnum	tinyint	NULL	NO	NULL
Contacts_List	6	boolShow	bit	NULL	NO	NULL
Contacts_List	7	useDescription	bit	NULL	YES	NULL
Contacts_List	8	useIcons	bit	NULL	YES	NULL
Course_Guide_Hole	1	courseID	int	NULL	NO	NULL
Course_Guide_Hole	2	hole	tinyint	NULL	NO	NULL
Course_Guide_Hole	3	holedescr	varchar	2000	YES	NULL
Course_Guide_Hole	4	sponsorID	int	NULL	YES	NULL
Course_Guide_Hole	5	videotag	varchar	500	YES	NULL
Course_Guide_Hole	6	videourl	varchar	500	YES	NULL
Course_Guide_Images	1	imageID	int	NULL	NO	NULL
Course_Guide_Images	2	hole	tinyint	NULL	NO	NULL
Course_Guide_Images	3	courseID	int	NULL	NO	NULL
Course_Guide_Images	4	imagefile	varchar	100	YES	NULL
Course_Guide_Images	5	imgDescription	varchar	100	YES	NULL
Course_Guide_Images	6	sortnum	tinyint	NULL	YES	NULL
Course_Guide_Sponsors	1	courseID	int	NULL	YES	NULL
Course_Guide_Sponsors	2	hole	int	NULL	NO	NULL
Course_Guide_Sponsors	3	sponsorID	int	NULL	NO	NULL
Courses	1	courseID	int	NULL	NO	NULL
Courses	2	coursename	varchar	100	NO	NULL
Courses	3	urlTitle	varchar	100	YES	NULL
Courses	4	holes	tinyint	NULL	NO	NULL
Courses	5	sortnum	tinyint	NULL	NO	NULL
Courses	6	boolShow	bit	NULL	NO	NULL
Courses	7	boolSlope	bit	NULL	YES	NULL
Courses_Hio	1	hioID	int	NULL	NO	NULL
Courses_Hio	2	courseID	int	NULL	NO	NULL
Courses_Hio	3	oldID	int	NULL	YES	NULL
Courses_Hio	4	hiodate	smalldatetime	NULL	NO	NULL
Courses_Hio	5	lastname	varchar	30	NO	NULL
Courses_Hio	6	firstname	varchar	30	NO	NULL
Courses_Hio	7	homeclub	varchar	30	YES	NULL
Courses_Hio	8	hole	varchar	2	NO	NULL
Courses_Hio	9	club	varchar	20	YES	NULL
Courses_Par	1	courseID	int	NULL	NO	NULL
Courses_Par	2	p1	tinyint	NULL	YES	NULL
Courses_Par	3	p2	tinyint	NULL	YES	NULL
Courses_Par	4	p3	tinyint	NULL	YES	NULL
Courses_Par	5	p4	tinyint	NULL	YES	NULL
Courses_Par	6	p5	tinyint	NULL	YES	NULL
Courses_Par	7	p6	tinyint	NULL	YES	NULL
Courses_Par	8	p7	tinyint	NULL	YES	NULL
Courses_Par	9	p8	tinyint	NULL	YES	NULL
Courses_Par	10	p9	tinyint	NULL	YES	NULL
Courses_Par	11	p10	tinyint	NULL	YES	NULL
Courses_Par	12	p11	tinyint	NULL	YES	NULL
Courses_Par	13	p12	tinyint	NULL	YES	NULL
Courses_Par	14	p13	tinyint	NULL	YES	NULL
Courses_Par	15	p14	tinyint	NULL	YES	NULL
Courses_Par	16	p15	tinyint	NULL	YES	NULL
Courses_Par	17	p16	tinyint	NULL	YES	NULL
Courses_Par	18	p17	tinyint	NULL	YES	NULL
Courses_Par	19	p18	tinyint	NULL	YES	NULL
Courses_Par	20	pfront	tinyint	NULL	YES	NULL
Courses_Par	21	pback	tinyint	NULL	YES	NULL
Courses_Par	22	par	tinyint	NULL	YES	NULL
Courses_Par	23	i1	tinyint	NULL	YES	NULL
Courses_Par	24	i2	tinyint	NULL	YES	NULL
Courses_Par	25	i3	tinyint	NULL	YES	NULL
Courses_Par	26	i4	tinyint	NULL	YES	NULL
Courses_Par	27	i5	tinyint	NULL	YES	NULL
Courses_Par	28	i6	tinyint	NULL	YES	NULL
Courses_Par	29	i7	tinyint	NULL	YES	NULL
Courses_Par	30	i8	tinyint	NULL	YES	NULL
Courses_Par	31	i9	tinyint	NULL	YES	NULL
Courses_Par	32	i10	tinyint	NULL	YES	NULL
Courses_Par	33	i11	tinyint	NULL	YES	NULL
Courses_Par	34	i12	tinyint	NULL	YES	NULL
Courses_Par	35	i13	tinyint	NULL	YES	NULL
Courses_Par	36	i14	tinyint	NULL	YES	NULL
Courses_Par	37	i15	tinyint	NULL	YES	NULL
Courses_Par	38	i16	tinyint	NULL	YES	NULL
Courses_Par	39	i17	tinyint	NULL	YES	NULL
Courses_Par	40	i18	tinyint	NULL	YES	NULL
Courses_Par	41	n1	varchar	30	YES	NULL
Courses_Par	42	n2	varchar	30	YES	NULL
Courses_Par	43	n3	varchar	30	YES	NULL
Courses_Par	44	n4	varchar	30	YES	NULL
Courses_Par	45	n5	varchar	30	YES	NULL
Courses_Par	46	n6	varchar	30	YES	NULL
Courses_Par	47	n7	varchar	30	YES	NULL
Courses_Par	48	n8	varchar	30	YES	NULL
Courses_Par	49	n9	varchar	30	YES	NULL
Courses_Par	50	n10	varchar	30	YES	NULL
Courses_Par	51	n11	varchar	30	YES	NULL
Courses_Par	52	n12	varchar	30	YES	NULL
Courses_Par	53	n13	varchar	30	YES	NULL
Courses_Par	54	n14	varchar	30	YES	NULL
Courses_Par	55	n15	varchar	30	YES	NULL
Courses_Par	56	n16	varchar	30	YES	NULL
Courses_Par	57	n17	varchar	30	YES	NULL
Courses_Par	58	n18	varchar	30	YES	NULL
Courses_Tees	1	teeID	int	NULL	NO	NULL
Courses_Tees	2	courseID	int	NULL	NO	NULL
Courses_Tees	3	sortnum	tinyint	NULL	NO	NULL
Courses_Tees	4	teename	varchar	20	NO	NULL
Courses_Tees	5	cr_m	float	NULL	YES	NULL
Courses_Tees	6	cr_f	float	NULL	YES	NULL
Courses_Tees	7	slope_m	tinyint	NULL	YES	NULL
Courses_Tees	8	slope_f	tinyint	NULL	YES	NULL
Courses_Tees	9	l1	smallint	NULL	YES	NULL
Courses_Tees	10	l2	smallint	NULL	YES	NULL
Courses_Tees	11	l3	smallint	NULL	YES	NULL
Courses_Tees	12	l4	smallint	NULL	YES	NULL
Courses_Tees	13	l5	smallint	NULL	YES	NULL
Courses_Tees	14	l6	smallint	NULL	YES	NULL
Courses_Tees	15	l7	smallint	NULL	YES	NULL
Courses_Tees	16	l8	smallint	NULL	YES	NULL
Courses_Tees	17	l9	smallint	NULL	YES	NULL
Courses_Tees	18	l10	smallint	NULL	YES	NULL
Courses_Tees	19	l11	smallint	NULL	YES	NULL
Courses_Tees	20	l12	smallint	NULL	YES	NULL
Courses_Tees	21	l13	smallint	NULL	YES	NULL
Courses_Tees	22	l14	smallint	NULL	YES	NULL
Courses_Tees	23	l15	smallint	NULL	YES	NULL
Courses_Tees	24	l16	smallint	NULL	YES	NULL
Courses_Tees	25	l17	smallint	NULL	YES	NULL
Courses_Tees	26	l18	smallint	NULL	YES	NULL
Courses_Tees	27	lf9	smallint	NULL	YES	NULL
Courses_Tees	28	lb9	smallint	NULL	YES	NULL
Courses_Tees	29	ltotal	smallint	NULL	YES	NULL
Departments	1	depID	int	NULL	NO	NULL
Departments	2	boolShow	bit	NULL	NO	NULL
Departments	3	boolMainDep	bit	NULL	NO	NULL
Departments	4	department	varchar	100	NO	NULL
Departments	5	urlAlias	varchar	100	NO	NULL
Departments	6	slogan	varchar	300	YES	NULL
Departments	7	megasort	tinyint	NULL	YES	NULL
Departments	8	date_created	smalldatetime	NULL	NO	NULL
Departments	9	boolRequired	bit	NULL	YES	NULL
Departments	10	boolMemberArea	bit	NULL	YES	NULL
Departments	11	boolModuleDirect	bit	NULL	YES	NULL
Documents	1	documentID	int	NULL	NO	NULL
Documents	2	oldDokID	int	NULL	YES	NULL
Documents	3	depID	int	NULL	NO	NULL
Documents	4	boolShow	bit	NULL	NO	NULL
Documents	5	categoryID	int	NULL	NO	NULL
Documents	6	docname	varchar	100	NO	NULL
Documents	7	docdescription	varchar	300	YES	NULL
Documents	8	docformat	varchar	5	NO	NULL
Documents	9	docfile	varchar	100	NO	NULL
Documents	10	size	varchar	10	NO	NULL
Documents	11	date_created	smalldatetime	NULL	NO	NULL
Documents	12	date_updated	smalldatetime	NULL	YES	NULL
Documents	13	created_by	varchar	100	NO	NULL
Documents_Categories	1	categoryID	int	NULL	NO	NULL
Documents_Categories	2	parentID	int	NULL	YES	NULL
Documents_Categories	3	depID	int	NULL	NO	NULL
Documents_Categories	4	category	varchar	100	NO	NULL
Documents_Categories	5	start	bit	NULL	NO	NULL
Documents_Userreg	1	documentID	int	NULL	NO	NULL
Documents_Userreg	2	boolShow	bit	NULL	NO	NULL
Documents_Userreg	3	categoryID	int	NULL	YES	NULL
Documents_Userreg	4	docname	varchar	100	NO	NULL
Documents_Userreg	5	docdescription	varchar	300	YES	NULL
Documents_Userreg	6	docformat	varchar	5	NO	NULL
Documents_Userreg	7	docfile	varchar	100	NO	NULL
Documents_Userreg	8	size	varchar	10	YES	NULL
Documents_Userreg	9	date_created	smalldatetime	NULL	NO	NULL
Documents_Userreg	10	date_updated	smalldatetime	NULL	YES	NULL
Documents_Userreg	11	created_by	varchar	100	YES	NULL
Documents_Userreg_Categories	1	categoryID	int	NULL	NO	NULL
Documents_Userreg_Categories	2	category	varchar	100	NO	NULL
Eclectic_Courses	1	ecl_tournID	int	NULL	NO	NULL
Eclectic_Courses	2	coursename	varchar	50	NO	NULL
Eclectic_Courses	3	p1	tinyint	NULL	YES	NULL
Eclectic_Courses	4	p2	tinyint	NULL	YES	NULL
Eclectic_Courses	5	p3	tinyint	NULL	YES	NULL
Eclectic_Courses	6	p4	tinyint	NULL	YES	NULL
Eclectic_Courses	7	p5	tinyint	NULL	YES	NULL
Eclectic_Courses	8	p6	tinyint	NULL	YES	NULL
Eclectic_Courses	9	p7	tinyint	NULL	YES	NULL
Eclectic_Courses	10	p8	tinyint	NULL	YES	NULL
Eclectic_Courses	11	p9	tinyint	NULL	YES	NULL
Eclectic_Courses	12	p10	tinyint	NULL	YES	NULL
Eclectic_Courses	13	p11	tinyint	NULL	YES	NULL
Eclectic_Courses	14	p12	tinyint	NULL	YES	NULL
Eclectic_Courses	15	p13	tinyint	NULL	YES	NULL
Eclectic_Courses	16	p14	tinyint	NULL	YES	NULL
Eclectic_Courses	17	p15	tinyint	NULL	YES	NULL
Eclectic_Courses	18	p16	tinyint	NULL	YES	NULL
Eclectic_Courses	19	p17	tinyint	NULL	YES	NULL
Eclectic_Courses	20	p18	tinyint	NULL	YES	NULL
Eclectic_Courses	21	pfront	tinyint	NULL	YES	NULL
Eclectic_Courses	22	pback	tinyint	NULL	YES	NULL
Eclectic_Courses	23	par	tinyint	NULL	YES	NULL
Eclectic_Courses	24	i1	tinyint	NULL	YES	NULL
Eclectic_Courses	25	i2	tinyint	NULL	YES	NULL
Eclectic_Courses	26	i3	tinyint	NULL	YES	NULL
Eclectic_Courses	27	i4	tinyint	NULL	YES	NULL
Eclectic_Courses	28	i5	tinyint	NULL	YES	NULL
Eclectic_Courses	29	i6	tinyint	NULL	YES	NULL
Eclectic_Courses	30	i7	tinyint	NULL	YES	NULL
Eclectic_Courses	31	i8	tinyint	NULL	YES	NULL
Eclectic_Courses	32	i9	tinyint	NULL	YES	NULL
Eclectic_Courses	33	i10	tinyint	NULL	YES	NULL
Eclectic_Courses	34	i11	tinyint	NULL	YES	NULL
Eclectic_Courses	35	i12	tinyint	NULL	YES	NULL
Eclectic_Courses	36	i13	tinyint	NULL	YES	NULL
Eclectic_Courses	37	i14	tinyint	NULL	YES	NULL
Eclectic_Courses	38	i15	tinyint	NULL	YES	NULL
Eclectic_Courses	39	i16	tinyint	NULL	YES	NULL
Eclectic_Courses	40	i17	tinyint	NULL	YES	NULL
Eclectic_Courses	41	i18	tinyint	NULL	YES	NULL
Eclectic_Participants	1	participantID	int	NULL	NO	NULL
Eclectic_Participants	2	oldID	int	NULL	YES	NULL
Eclectic_Participants	3	ecl_TournID	int	NULL	YES	NULL
Eclectic_Participants	4	fname	varchar	30	YES	NULL
Eclectic_Participants	5	lname	varchar	50	YES	NULL
Eclectic_Participants	6	hcp	real	NULL	YES	NULL
Eclectic_Score	1	scoreID	int	NULL	NO	NULL
Eclectic_Score	2	ecl_tournID	int	NULL	NO	NULL
Eclectic_Score	3	participantID	int	NULL	NO	NULL
Eclectic_Score	4	hcp	real	NULL	YES	NULL
Eclectic_Score	5	MS	tinyint	NULL	YES	NULL
Eclectic_Score	6	scoreDate	smalldatetime	NULL	NO	NULL
Eclectic_Score	7	sc1	smallint	NULL	YES	NULL
Eclectic_Score	8	sc2	smallint	NULL	YES	NULL
Eclectic_Score	9	sc3	smallint	NULL	YES	NULL
Eclectic_Score	10	sc4	smallint	NULL	YES	NULL
Eclectic_Score	11	sc5	smallint	NULL	YES	NULL
Eclectic_Score	12	sc6	smallint	NULL	YES	NULL
Eclectic_Score	13	sc7	smallint	NULL	YES	NULL
Eclectic_Score	14	sc8	smallint	NULL	YES	NULL
Eclectic_Score	15	sc9	smallint	NULL	YES	NULL
Eclectic_Score	16	sc10	smallint	NULL	YES	NULL
Eclectic_Score	17	sc11	smallint	NULL	YES	NULL
Eclectic_Score	18	sc12	smallint	NULL	YES	NULL
Eclectic_Score	19	sc13	smallint	NULL	YES	NULL
Eclectic_Score	20	sc14	smallint	NULL	YES	NULL
Eclectic_Score	21	sc15	smallint	NULL	YES	NULL
Eclectic_Score	22	sc16	smallint	NULL	YES	NULL
Eclectic_Score	23	sc17	smallint	NULL	YES	NULL
Eclectic_Score	24	sc18	smallint	NULL	YES	NULL
Eclectic_Score	25	sumScore	smallint	NULL	YES	NULL
Eclectic_Score	26	sumAlb	smallint	NULL	YES	NULL
Eclectic_Score	27	sumEag	smallint	NULL	YES	NULL
Eclectic_Score	28	sumBir	smallint	NULL	YES	NULL
Eclectic_Score	29	sumPar	smallint	NULL	YES	NULL
Eclectic_Score	30	sumBog	smallint	NULL	YES	NULL
Eclectic_Score	31	sumDbo	smallint	NULL	YES	NULL
Eclectic_Score	32	sumOth	smallint	NULL	YES	NULL
Eclectic_Score_Net	1	scoreID	int	NULL	NO	NULL
Eclectic_Score_Net	2	ecl_tournID	int	NULL	NO	NULL
Eclectic_Score_Net	3	participantID	int	NULL	NO	NULL
Eclectic_Score_Net	4	sc1	smallint	NULL	YES	NULL
Eclectic_Score_Net	5	sc2	smallint	NULL	YES	NULL
Eclectic_Score_Net	6	sc3	smallint	NULL	YES	NULL
Eclectic_Score_Net	7	sc4	smallint	NULL	YES	NULL
Eclectic_Score_Net	8	sc5	smallint	NULL	YES	NULL
Eclectic_Score_Net	9	sc6	smallint	NULL	YES	NULL
Eclectic_Score_Net	10	sc7	smallint	NULL	YES	NULL
Eclectic_Score_Net	11	sc8	smallint	NULL	YES	NULL
Eclectic_Score_Net	12	sc9	smallint	NULL	YES	NULL
Eclectic_Score_Net	13	sc10	smallint	NULL	YES	NULL
Eclectic_Score_Net	14	sc11	smallint	NULL	YES	NULL
Eclectic_Score_Net	15	sc12	smallint	NULL	YES	NULL
Eclectic_Score_Net	16	sc13	smallint	NULL	YES	NULL
Eclectic_Score_Net	17	sc14	smallint	NULL	YES	NULL
Eclectic_Score_Net	18	sc15	smallint	NULL	YES	NULL
Eclectic_Score_Net	19	sc16	smallint	NULL	YES	NULL
